Share_Issued_2023,Share_Issued_2022,Share_Issued_2021,Share_Issued_2020,Stockholders_Equity_2023,Stockholders_Equity_2022,Stockholders_Equity_2021,Stockholders_Equity_2020,Total_Debt_2023,Total_Debt_2022,Total_Debt_2021,Total_Debt_2020,Free_Cash_Flow_2023,Free_Cash_Flow_2022,Free_Cash_Flow_2021,Free_Cash_Flow_2020,Operating_Cash_Flow_2023,Operating_Cash_Flow_2022,Operating_Cash_Flow_2021,Operating_Cash_Flow_2020,Basic_EPS_2023,Basic_EPS_2022,Basic_EPS_2021,Basic_EPS_2020,Net_Income_2023,Net_Income_2022,Net_Income_2021,Net_Income_2020,Total_Revenue_2023,Total_Revenue_2022,Total_Revenue_2021,Total_Revenue_2020,ticker,Share_Issued_2019,Stockholders_Equity_2019,Total_Debt_2019,Free_Cash_Flow_2019,Operating_Cash_Flow_2019,Basic_EPS_2019,Net_Income_2019,Total_Revenue_2019
,76988000.0,76663000.0,76305000.0,,2678281000.0,3128291000.0,3559512000.0,,3651601000.0,3371971000.0,3047483000.0,,296261000.0,822623000.0,701882000.0,,722222000.0,1112262000.0,969688000.0,,8.32,9.62,7.17,,501872000.0,616108000.0,493021000.0,,11154722000.0,10997989000.0,10106321000.0,AAP,76051000.0,3549081000.0,2764479000.0,395261000.0,866909000.0,6.87,486896000.0,9709003000.0
15550061000.0,15943425000.0,16426786000.0,16976763000.0,62146000000.0,50672000000.0,63090000000.0,65339000000.0,111088000000.0,120069000000.0,124719000000.0,112436000000.0,99584000000.0,111443000000.0,92953000000.0,73365000000.0,110543000000.0,122151000000.0,104038000000.0,80674000000.0,6.16,6.15,5.67,3.31,96995000000.0,99803000000.0,94680000000.0,57411000000.0,383285000000.0,394328000000.0,365817000000.0,274515000000.0,AAPL,,,,,,,,
,60718653.0,60525580.0,60476292.0,,1221265000.0,1238964000.0,1271442000.0,,1648088000.0,1649203000.0,1406751000.0,,65291000.0,63741000.0,63497000.0,,179072000.0,168329000.0,126985000.0,,0.72,0.47,0.46,,55877000.0,36593000.0,35588000.0,,422648000.0,375828000.0,344573000.0,AAT,60068228.0,1313917000.0,1357659000.0,65489000.0,153816000.0,0.84,60188000.0,366741000.0
,137221408.0,137221408.0,121300254.0,,69815677.0,80184137.0,71177434.0,,4394945.0,3776152.0,3013487.0,,-3382244.0,-4408730.0,-3011080.0,,-1653398.0,-1613580.0,-1253362.0,,-0.09,-0.02,-0.03,,-11846560.0,-2668254.0,-3129368.0,,0.0,0.0,0.0,AAU,111726719.0,68585150.0,2834017.0,-5644095.0,-1892325.0,-0.03,-3763075.0,0.0
45888131.0,644138631.0,573267632.0,,61214484.0,49634059.0,19440605.0,,6175788.0,175789.0,,,-28203154.0,-25260708.0,-14839685.0,,-13367980.0,-10177994.0,-7756438.0,,-7.35,-12.0,-1.2,,-21338207.0,-33539962.0,-41760064.0,,0.0,0.0,0.0,,ABAT,,,,,,,,
,1813770294.0,1803195293.0,1792140764.0,,17254000000.0,15408000000.0,13076000000.0,,63271000000.0,76684000000.0,86056000000.0,,24248000000.0,21990000000.0,16790000000.0,,24943000000.0,22777000000.0,17588000000.0,,6.65,6.48,2.73,,11836000000.0,11542000000.0,4616000000.0,,58054000000.0,56197000000.0,45804000000.0,ABBV,1781582608.0,-8172000000.0,66728000000.0,12772000000.0,13324000000.0,5.3,7882000000.0,33266000000.0
,72263727.0,72017126.0,71753705.0,,3197400000.0,2966451000.0,2647088000.0,,2004058000.0,866207000.0,549500000.0,,1048905000.0,-16308000.0,780280000.0,,1062473000.0,9140000.0,798396000.0,,5.01,5.43,3.78,,346540000.0,376913000.0,261988000.0,,1085421000.0,1017333000.0,1079147000.0,ABCB,71499829.0,2469582000.0,1526269000.0,-951792000.0,-940211000.0,2.76,161441000.0,699197000.0
,286851595.0,283257104.0,269497768.0,,1233277000.0,1025733000.0,830508000.0,,76675000.0,36413000.0,6103000.0,,204700000.0,186132000.0,8017000.0,,277360000.0,244584000.0,22690000.0,,0.56,0.56,0.53,,158519000.0,153464000.0,118918000.0,,485424000.0,375203000.0,233155000.0,ABCL,265952096.0,10252150.0,6890983.0,-1303173.0,2693715.0,-0.010264,-2210696.0,11611543.0
,229309701.0,228883639.0,216173277.0,,726900000.0,656100000.0,502600000.0,,223900000.0,229700000.0,234200000.0,,-12600000.0,3100000.0,27300000.0,,28700000.0,62900000.0,63000000.0,,-0.037,,0.06,,-8500000.0,4400000.0,12500000.0,,361700000.0,315400000.0,260000000.0,ABCM,,,,,,,,
,17719720.0,5888216.0,3845267.0,,26761000.0,51375000.0,102551000.0,,7627000.0,9378000.0,8731000.0,,-43613000.0,-69816000.0,-36355000.0,,-43483000.0,-65665000.0,-35019000.0,,-5.53,-21.57,-22.75,,-39696000.0,-84936000.0,-84234000.0,,1414000.0,3000000.0,10000000.0,ABEO,3344885.0,178430000.0,7950000.0,-69328000.0,-62820000.0,-37.75,-76282000.0,0.0
