Share_Issued_2023,Share_Issued_2022,Share_Issued_2021,Share_Issued_2020,Share_Issued_2019,Stockholders_Equity_2023,Stockholders_Equity_2022,Stockholders_Equity_2021,Stockholders_Equity_2020,Stockholders_Equity_2019,Total_Debt_2023,Total_Debt_2022,Total_Debt_2021,Total_Debt_2020,Total_Debt_2019,Free_Cash_Flow_2023,Free_Cash_Flow_2022,Free_Cash_Flow_2021,Free_Cash_Flow_2020,Free_Cash_Flow_2019,Operating_Cash_Flow_2023,Operating_Cash_Flow_2022,Operating_Cash_Flow_2021,Operating_Cash_Flow_2020,Operating_Cash_Flow_2019,Basic_EPS_2023,Basic_EPS_2022,Basic_EPS_2021,Basic_EPS_2020,Net_Income_2023,Net_Income_2022,Net_Income_2021,Net_Income_2020,Total_Revenue_2023,Total_Revenue_2022,Total_Revenue_2021,Total_Revenue_2020,ticker,Basic_EPS_2019,Net_Income_2019,Total_Revenue_2019,Share_Issued_2024,Stockholders_Equity_2024,Total_Debt_2024,Free_Cash_Flow_2024,Operating_Cash_Flow_2024,Basic_EPS_2024,Net_Income_2024,Total_Revenue_2024
38148000.0,28622000.0,27323000.0,25110000.0,,214869000.0,184670000.0,254570000.0,277891000.0,,121073000.0,155526000.0,149900000.0,154921000.0,,-17596000.0,-17730000.0,-20082000.0,-60293000.0,,-7929000.0,-14022000.0,-11644000.0,-44009000.0,,-1.75,-2.38,-2.01,-2.67,-56048000.0,-66397000.0,-54162000.0,-58452000.0,217646000.0,222818000.0,211565000.0,234623000.0,AAOI,,,,,,,,,,,
81508381.0,80137776.0,78791977.0,78337150.0,,735224000.0,560714000.0,466170000.0,350865000.0,,50550000.0,78251000.0,41580000.0,202000.0,,49404000.0,-14706000.0,5821000.0,61012000.0,,158895000.0,61318000.0,61183000.0,128814000.0,,2.19,1.26,0.746667,1.006667,177623000.0,100376000.0,58758000.0,79009000.0,1168518000.0,888788000.0,534517000.0,514551000.0,AAON,,,,,,,,,,,
77349000.0,76988000.0,76663000.0,76305000.0,,2519728000.0,2599192000.0,3128291000.0,3559512000.0,,4002127000.0,3651601000.0,3371971000.0,3047483000.0,,44964000.0,310610000.0,817383000.0,701882000.0,,287375000.0,736571000.0,1107022000.0,969688000.0,,0.5,8.32,9.62,7.17,29735000.0,464402000.0,596615000.0,493021000.0,11287607000.0,11154722000.0,10997989000.0,10106321000.0,AAP,,,,,,,,,,,
15550061000.0,15943425000.0,16426786000.0,16976763000.0,,62146000000.0,50672000000.0,63090000000.0,65339000000.0,,123930000000.0,132480000000.0,136522000000.0,122278000000.0,,99584000000.0,111443000000.0,92953000000.0,73365000000.0,,110543000000.0,122151000000.0,104038000000.0,80674000000.0,,6.16,6.15,5.67,3.31,96995000000.0,99803000000.0,94680000000.0,57411000000.0,383285000000.0,394328000000.0,365817000000.0,274515000000.0,AAPL,,,,,,,,,,,
60895786.0,60718653.0,60525580.0,60476292.0,,1197858000.0,1221265000.0,1238964000.0,1271442000.0,,1712881000.0,1673764000.0,1677120000.0,1436811000.0,,105771000.0,65291000.0,63741000.0,63497000.0,,188751000.0,179072000.0,168329000.0,126985000.0,,0.84,0.72,0.47,0.46,64690000.0,55877000.0,36593000.0,35588000.0,441164000.0,422648000.0,375828000.0,344573000.0,AAT,,,,,,,,,,,
45888131.0,42942575.0,38217842.0,,8845208.0,61214484.0,49634059.0,19440605.0,,-4787462.0,6175788.0,275564.0,0.0,,398890.0,-28203154.0,-25260708.0,-14839685.0,,-3233467.0,-13367980.0,-10177994.0,-7756438.0,,-3233467.0,-0.490245,-0.8004,-1.2,,-21338207.0,-33539962.0,-41760064.0,,0.0,0.0,0.0,,ABAT,-1.65,-12625204.0,0.0,,,,,,,,
1823046087.0,1813770294.0,1803195293.0,1792140764.0,,10360000000.0,17254000000.0,15408000000.0,13076000000.0,,59385000000.0,63271000000.0,76684000000.0,86056000000.0,,22062000000.0,24248000000.0,21990000000.0,16790000000.0,,22839000000.0,24943000000.0,22777000000.0,17588000000.0,,2.753773,6.6901,6.527034,2.615101,4863000000.0,11836000000.0,11542000000.0,4616000000.0,54318000000.0,58054000000.0,56197000000.0,45804000000.0,ABBV,,,,,,,,,,,
72516079.0,72263727.0,72017126.0,71753705.0,,3426747000.0,3197400000.0,2966451000.0,2647088000.0,,639901000.0,2004058000.0,866207000.0,549500000.0,,551428000.0,1048905000.0,-16308000.0,780280000.0,,568959000.0,1062473000.0,9140000.0,798396000.0,,3.9,5.01,5.43,3.78,269105000.0,346540000.0,376913000.0,261988000.0,1042509000.0,1048586000.0,990852000.0,1058237000.0,ABCB,,,,,,,,,,,
290824970.0,286851595.0,283257104.0,269497768.0,,1152318000.0,1233277000.0,1025733000.0,830508000.0,,77380000.0,82258000.0,40065000.0,4390000.0,,-121384000.0,204700000.0,186132000.0,8017000.0,,-43877000.0,277360000.0,244584000.0,22690000.0,,-0.51,0.56,0.56,0.53,-146398000.0,158519000.0,153464000.0,118918000.0,38025000.0,485424000.0,375203000.0,233155000.0,ABCL,,,,,,,,,,,
26523878.0,17719720.0,5888216.0,3845267.0,,14826000.0,26761000.0,42368000.0,102551000.0,,5400000.0,7627000.0,9378000.0,8731000.0,,-37340000.0,-43613000.0,-69816000.0,-36355000.0,,-37009000.0,-43483000.0,-65665000.0,-35019000.0,,-2.53,-5.53,-21.5,-22.75,-54188000.0,-39696000.0,-84936000.0,-84234000.0,3500000.0,1414000.0,3000000.0,10000000.0,ABEO,,,,,,,,,,,
